OID,Asset_Group,Is_Connected,Install_Year,Diameter,Material,Avg_Kam_Avg,Max_Kam_Max,Min_Kam_Min,Avg_Kam_Count,Avg_Kam_NaN_Count,Max_Avg_gpm,Line_Length,Dist_to_Storage,Dist_to_Hydrant,Dist_to_PV,Dist_to_SV,Leak_Y_N
3062,2,1,1965,0.75,84,0,0,0,0,0,0,7,2444,46,3754,19,0
3314,2,1,0,0,0,0,0,0,0,0,0,3,2343,120,3027,71,0
3224,2,1,1965,0.75,84,0,0,0,0,0,0,7,2404,104,3809,41,0
1248,2,1,1958,0.75,0,0,0,0,0,0,0,11,1853,139,4561,96,0
2506,1,1,1930,6,0,0,0,0,0,0,0,6,2461,21,3731,0,0
8032,2,1,1930,6,0,0,0,0,0,0,0,11,2461,12,3723,6,0
2566,2,1,1922,6,0,0,0,0,0,0,0,8,1008,4,2584,285,0
11732,1,1,2002,8,0,0,0,0,0,0,0,45,3853,57,1481,7,0
10873,2,0,1954,1,0,0,0,0,0,0,1,5,2657,242,2783,134,0
6349,2,1,1965,0.75,84,0,0,0,0,0,0,4,2441,52,3760,15,0
8011,2,1,1930,6,0,0,0,0,0,0,0,12,2468,0,3711,10,0
9739,2,1,1951,0.75,84,0,0,0,0,0,0,7,2572,159,3117,107,0
5219,1,1,1909,6,0,0,0,0,0,0,0,15,2323,100,3264,27,0
4999,1,1,0,6,0,0,0,0,0,0,0,6,1439,18,4233,16,0
8644,1,1,1927,6,0,0,0,0,0,0,0,3,3997,48,1194,0,0
6304,1,1,0,8,88,0,0,0,0,0,0,5,4486,178,942,127,0
9094,2,1,0,0.75,84,0,0,0,0,0,0,3,4485,178,942,132,0
823,2,1,1951,0.75,84,0,0,0,0,0,0,16,2565,157,3106,105,0
4459,1,1,0,6,0,0,0,0,0,0,0,15,2134,212,3180,243,0
4487,1,1,1909,6,0,0,0,0,0,0,0,24,4225,103,1570,0,0
10867,1,1,1909,12,0,7,9,6,153,0,0,86,4197,55,1545,24,0
206,1,1,1976,12,0,0,0,0,0,0,0,313,1433,29,3054,4,0
1535,2,1,0,0.75,84,0,0,0,0,0,0,4,4053,171,2058,142,0
3536,1,1,1951,6,0,11,25,7,153,0,0,7,2565,150,3100,105,0
10708,1,1,2021,16,88,0,0,0,0,0,0,88,2158,281,773,290,0
4195,1,1,1930,6,0,16,49,6,153,0,0,358,2869,14,2267,362,0
8343,2,1,1930,6,0,0,0,0,0,0,0,10,2868,7,2260,356,0
2853,1,1,1979,6,0,0,0,0,0,0,0,9,2670,228,647,0,0
11300,1,1,1979,6,0,0,0,0,0,0,0,55,2621,173,656,9,0
11031,2,0,1954,1,0,0,0,0,0,0,0,6,2632,208,2830,115,0
2987,2,1,1957,0.75,84,0,0,0,0,0,0,14,3203,224,1453,118,0
7480,1,1,1979,6,0,16,306,0,92,0,0,50,2675,229,599,0,0
8437,2,1,0,0.75,84,0,0,0,0,0,0,5,4496,175,935,122,0
11338,2,1,0,0.75,84,0,0,0,0,0,0,36,4453,178,944,132,0
4031,1,1,1976,12,0,0,0,0,0,0,0,47,4926,50,1655,0,0
10581,1,1,1985,6,88,0,0,0,0,0,0,179,802,12,1120,84,0
1194,2,1,1972,6,0,0,0,0,0,0,0,9,1448,6,4227,16,0
2782,2,1,1921,6,0,0,0,0,0,0,0,8,2447,0,3267,59,0
8116,2,1,1981,6,0,0,0,0,0,0,0,7,1296,0,3575,254,0
8358,1,1,1925,6,0,0,0,0,0,0,0,6,1945,81,2942,0,0
10438,1,1,2002,8,0,0,0,0,0,0,0,8,951,34,4477,0,0
4684,2,1,1914,6,0,0,0,0,0,0,0,7,4014,0,1166,13,0
6140,2,1,1914,6,0,0,0,0,0,0,0,7,4009,7,1171,12,0
2530,2,0,0,0.75,0,0,0,0,0,0,0,20,2772,159,4028,134,0
11698,1,1,1958,24,83,0,0,0,0,0,0,9,3993,48,1196,0,0
